A Arte da Procrastinacao;John Perry,john@email.com,M;10;1
O Hobbit;JR Tolkien,tolkien@email.com,M;150;15
Cemiterio Maldito;Stephen King,stephen@email.com,M;150;15
Carrie- a estranha;Stephen King,stephen@email.com,M;150;15
Sob a Redoma;Stephen King,stephen@email.com,M;10;1
A Escolha dos Tres - Torre Negra 2;Stephen King,stephen@email.com,M;10;1
O Pistoleiro - Torre Negra 1;Stephen King,stephen@email.com,M;150;15
Terras Devastadas - Torre Negra 3;Stephen King,stephen@email.com,M;10;1
O Mago e o Vidro - Torre Negra 4;Stephen King,stephen@email.com,M;40;25
Lobos de Calla - Torre Negra 5;Stephen King,stephen@email.com,M;40;25
A Danca da Morte;Stephen King,stephen@email.com,M;150;15
Sombras da Noite;Stephen King,stephen@email.com,M;40;25
A Fascinante Construcao do Eu;Augusto Cury,augusto@email.com,M;150;15
Blink;Malcolm Gladwell,malcolm@email.com,M;150;15
Scrum, Gestao Agil;Rafael Sabbagh,rafael@email.com,M;40;25
The Gift of Fear;Gavin de Becker,gavin@email.com,M;10;1
Fun Retrospectives;Paulo Caroli,paulo@email.com,M;150;15
O Sorriso da Hiena;Gustavo Avila,gustavo@email.com,M;40;25
Mundo de Sofia;Jostein Gaarder,jostein@email.com,M;150;15
A Cabana;Willian Young,willian@email.com,M;250;15
Sociedade do Anel;JR Tolkien,tolkien@email.com,M;40;25
As Duas Torres;JR Tolkien,tolkien@email.com,M;150;15
Torre Negra;Stephen King,stephen @email.com,M;40;25
